ID;District;Elevation;Slope;Aspect;Aspect_num;ELE;ELE_Geo;Age;Dg;HL;V;SI;geology;geology2;Geo;Geology3;TPI200;TPI500;TPI1000;TPI2000;SP200;SP500;SP1000;SP2000
1;Wêgierska Górka;900;16;NE;69;2;20;67;24,91595038;24,50504391;449,9407866;32,3;Slaska;Slaska;0;Godulskie gorne;20,885;77,326;131,59;63,342;6;6;6;6
2;Ujsoˆy;970;11;SW;255;3;31;78;33,51151614;28,10696478;660,0044182;32,7;Magurska;Magurska;1;Warstwy Magurskie;26,844;85,205;141,02;109,53;6;6;6;6
3;Wisˆa;578;3;NE;70;1;10;94;39,09500847;33,10124859;568,4594166;35,7;Slaska;Slaska;0;Godulskie gorne;-12,622;-33,795;-5,0292;28,743;1;1;4;4
4;Ujsoˆy;880;24;NW;355;2;21;108;43,50993363;35,96230491;874,164381;37,4;Magurska;Magurska;1;Warstwy Magurskie;24,252;64,434;100,6;104,04;6;6;6;6
5;Ujsoˆy;875;25;NE;0;2;21;58;29,35380238;27,30412395;462,7555559;37,5;Magurska;Magurska;1;Warstwy Magurskie;8,851;27,613;54,754;93,135;5;5;5;6
6;Ujsoˆy;990;11;NW;270;3;31;87;40,49769224;30,87993342;708,2353078;33,7;Magurska;Magurska;1;Warstwy ˆ¥ckie;9,0194;9,7086;27,768;51,754;5;4;5;5
7;Wêgierska Górka;920;3;SW;198;2;20;60;24,69261943;21,03257635;521,7303148;30,4;Slaska;Slaska;0;Godulskie gorne;3,2529;8,8849;26,011;22,709;4;4;4;4
8;Ujsoˆy;735;12;NE;10;1;11;66;30,37010592;30,60616521;774,1846272;39;Magurska;Magurska;1;Warstwy ropianieckie;-0,30444;-1,8426;-47,165;-49,585;4;4;2;2
9;Jele˜nia;1250;26;SE;125;3;31;93;38,93643324;25,01722297;479,7463144;27,4;Inne;Inne -magurska;1;Warstwy koluwialne;1,1724;9,4866;88,063;239,75;4;4;6;6
10;Wêgierska Górka;1050;19;SE;106;3;30;110;36,3858489;27,592595;859,8216116;29,8;Slaska;Slaska;0;Godulskie gorne;11,064;13,116;48,883;98,356;5;4;5;6
11;Wisˆa;620;7;NW;290;1;10;77;31,34568645;28,19969338;565,1628676;33,6;Slaska;Slaska;0;Istebnianskie dolne;7,8744;0,15997;-12,362;-58,523;5;4;4;2
12;Ujsoˆy;930;23;SE;140;3;31;105;37,74750701;31,26045182;733,6993614;32,8;Magurska;Magurska;1;Warstwy Magurskie;1,915;26,45;31,959;41,37;4;5;5;4
13;Ujsoˆy;875;24;SW;180;2;21;65;32,45663951;31,22763471;502,579672;38,8;Magurska;Magurska;1;Warstwy ˆ¥ckie;-16,089;9,4518;51,233;63,723;1;4;5;5
14;Wêgierska Górka;1290;14;NW;273;3;31;135;37,46385591;19,22273664;473,4886752;20,4;Slaska;Slaska;1;Godulskie gorne;14,015;68,145;152,28;272,05;6;6;6;6
15;Wêgierska Górka;855;7;SW;264;2;21;69;26,49974843;27,00657447;626,5298359;34,1;Magurska;Magurska;1;Piaskowce pasierbieckie;10,275;42,955;69,296;102,39;6;6;6;6
16;Wêgierska Górka;780;10;SE;93;2;21;97;41,56243797;35,70911036;430,1479499;37,2;Slaska;Slaska;1;Godulskie gorne;-5,3541;6,582;23,065;39,437;4;4;4;4
